epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2752.02,0.77394,0.75465,1.23885,0.89056,0.68968,0.76545,0.64238,0.58256,0.43421,1.07918,0.005743,0.005743,0.005743
45,2815.24,0.77398,0.75261,1.23663,0.89242,0.69456,0.77253,0.64909,0.58628,0.43726,1.08192,0.005644,0.005644,0.005644
46,2876.74,0.76434,0.74541,1.23216,0.89748,0.69234,0.77274,0.64851,0.58347,0.4325,1.07822,0.005545,0.005545,0.005545
47,2938.44,0.76399,0.74602,1.23369,0.88352,0.70328,0.77649,0.65035,0.58846,0.43447,1.08015,0.005446,0.005446,0.005446
48,3000.86,0.7611,0.7383,1.22753,0.89477,0.70891,0.79023,0.66029,0.59575,0.44463,1.08236,0.005347,0.005347,0.005347
49,3063.01,0.75428,0.72934,1.22501,0.88927,0.70387,0.78006,0.65421,0.59031,0.43398,1.0783,0.005248,0.005248,0.005248
50,3125.57,0.75884,0.72868,1.22729,0.9005,0.69942,0.7816,0.65886,0.58363,0.42761,1.07585,0.005149,0.005149,0.005149
51,3188.6,0.75755,0.72505,1.22393,0.89891,0.69321,0.77583,0.6561,0.57383,0.41889,1.07138,0.00505,0.00505,0.00505
52,3250.78,0.75811,0.72691,1.22564,0.89599,0.70091,0.7788,0.65705,0.57588,0.41999,1.0728,0.004951,0.004951,0.004951
53,3313.04,0.74918,0.71758,1.2216,0.89413,0.69916,0.77737,0.65813,0.57244,0.41809,1.06929,0.004852,0.004852,0.004852
54,78.4393,0.74779,0.71124,1.21963,0.8966,0.70214,0.78222,0.66007,0.57702,0.42252,1.06943,0.004753,0.004753,0.004753
55,139.703,0.74921,0.70597,1.21762,0.88882,0.70503,0.77964,0.65894,0.574,0.41749,1.06797,0.004654,0.004654,0.004654
56,202.689,0.74498,0.70321,1.21204,0.90027,0.69703,0.77604,0.6577,0.57408,0.41786,1.06526,0.004555,0.004555,0.004555
57,263.214,0.74629,0.70516,1.21189,0.90031,0.69649,0.77427,0.65576,0.5715,0.41316,1.06094,0.004456,0.004456,0.004456
58,323.506,0.74484,0.70721,1.21424,0.89574,0.70197,0.77771,0.65873,0.57386,0.41219,1.0663,0.004357,0.004357,0.004357
59,384.484,0.74257,0.69468,1.20753,0.89542,0.70158,0.77872,0.66118,0.57384,0.40598,1.06313,0.004258,0.004258,0.004258
60,446.444,0.73421,0.69269,1.20625,0.90174,0.69967,0.77995,0.66194,0.57008,0.40486,1.0606,0.004159,0.004159,0.004159
61,79.3499,0.71138,0.64651,1.18832,0.90426,0.69526,0.78048,0.66524,0.56428,0.40248,1.05709,0.00406,0.00406,0.00406
62,141.574,0.71299,0.64163,1.18734,0.89782,0.69774,0.7792,0.66464,0.56264,0.40157,1.05584,0.003961,0.003961,0.003961
63,203.214,0.70986,0.63941,1.1839,0.89418,0.70082,0.77804,0.66441,0.56542,0.40187,1.05707,0.003862,0.003862,0.003862
64,265.225,0.7118,0.64275,1.18632,0.89838,0.69618,0.77616,0.66267,0.56399,0.40012,1.05531,0.003763,0.003763,0.003763
65,325.583,0.71062,0.64435,1.18507,0.9024,0.69767,0.77772,0.66353,0.56514,0.39919,1.05753,0.003664,0.003664,0.003664
66,386.5,0.71174,0.63893,1.18508,0.90277,0.69802,0.77729,0.66446,0.56387,0.39519,1.05604,0.003565,0.003565,0.003565
67,449.317,0.71521,0.65429,1.19258,0.90204,0.70083,0.77912,0.6655,0.56285,0.39549,1.05531,0.003466,0.003466,0.003466
68,511.357,0.72939,0.67084,1.19937,0.9003,0.70419,0.78265,0.66776,0.56413,0.39596,1.05617,0.003367,0.003367,0.003367
69,574.774,0.7249,0.66895,1.19602,0.89692,0.70626,0.78252,0.66805,0.56437,0.39501,1.05582,0.003268,0.003268,0.003268
70,637.254,0.72649,0.66657,1.19721,0.90008,0.70722,0.78363,0.66844,0.5638,0.3931,1.05362,0.003169,0.003169,0.003169
71,699.928,0.72509,0.66868,1.19742,0.90721,0.69946,0.78257,0.66764,0.56093,0.39191,1.05148,0.00307,0.00307,0.00307
