epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4883.49,0.99238,0.91697,1.48827,0.82873,0.81395,0.86756,0.67398,0.84714,0.92923,1.33075,0.000643101,0.000643101,0.000643101
43,4999.9,0.98489,0.90105,1.48078,0.82183,0.82419,0.86904,0.67451,0.8463,0.91031,1.33036,0.000628101,0.000628101,0.000628101
44,5115.73,0.9869,0.89847,1.47666,0.82643,0.82516,0.86991,0.67527,0.84652,0.91147,1.33151,0.000612981,0.000612981,0.000612981
45,5233.29,0.98231,0.88995,1.47486,0.82648,0.82541,0.87109,0.67633,0.84639,0.91022,1.33052,0.000597754,0.000597754,0.000597754
46,5349.15,0.9801,0.88424,1.47601,0.83437,0.81998,0.87176,0.67819,0.8444,0.9097,1.32917,0.000582435,0.000582435,0.000582435
47,5465.01,0.97553,0.87753,1.46975,0.83128,0.82272,0.87213,0.67967,0.84111,0.91655,1.32652,0.00056704,0.00056704,0.00056704
48,5579.51,0.96851,0.86926,1.4614,0.82989,0.8233,0.87261,0.67998,0.84041,0.92555,1.3252,0.000551584,0.000551584,0.000551584
49,5693.3,0.97335,0.87752,1.46528,0.83203,0.82479,0.87314,0.68066,0.83855,0.92524,1.32373,0.000536081,0.000536081,0.000536081
50,5808.18,0.96595,0.86364,1.45756,0.82733,0.82984,0.87326,0.68183,0.83509,0.92601,1.32094,0.000520548,0.000520548,0.000520548
51,5922.1,0.95993,0.85298,1.45486,0.82861,0.82839,0.87332,0.68248,0.83342,0.92757,1.31936,0.000505,0.000505,0.000505
52,6036.85,0.95842,0.84011,1.4513,0.82747,0.83008,0.87332,0.68337,0.83121,0.92746,1.31699,0.000489452,0.000489452,0.000489452
53,6151.42,0.9527,0.83708,1.44906,0.83026,0.82727,0.87332,0.68406,0.8298,0.93067,1.31565,0.000473919,0.000473919,0.000473919
54,6265.02,0.94806,0.82695,1.44371,0.83178,0.82836,0.87385,0.68482,0.82824,0.93266,1.31489,0.000458416,0.000458416,0.000458416
55,6380.91,0.94917,0.82871,1.44213,0.83094,0.83132,0.87436,0.6858,0.8261,0.93327,1.31373,0.00044296,0.00044296,0.00044296
56,6495.24,0.94663,0.82456,1.44543,0.83123,0.83127,0.87482,0.68653,0.82443,0.93292,1.31245,0.000427565,0.000427565,0.000427565
57,6609.85,0.94011,0.81499,1.44252,0.8297,0.83374,0.87512,0.68715,0.82372,0.93247,1.31174,0.000412246,0.000412246,0.000412246
58,6723.78,0.93949,0.80593,1.43608,0.82901,0.83344,0.87537,0.68845,0.82219,0.93135,1.31034,0.000397019,0.000397019,0.000397019
59,6840.24,0.93687,0.81051,1.4332,0.83045,0.83465,0.87586,0.68899,0.82087,0.92966,1.30927,0.000381899,0.000381899,0.000381899
60,6955.56,0.93567,0.7998,1.43581,0.83232,0.83273,0.87608,0.68976,0.81935,0.93031,1.3083,0.000366899,0.000366899,0.000366899
61,7072.17,0.93209,0.79365,1.42884,0.83263,0.83269,0.87642,0.69043,0.81768,0.92939,1.30695,0.000352037,0.000352037,0.000352037
62,7187.5,0.93,0.79391,1.4309,0.83337,0.83348,0.87638,0.69028,0.81649,0.9298,1.30625,0.000337325,0.000337325,0.000337325
63,7303.67,0.92367,0.78257,1.42107,0.83195,0.83477,0.87661,0.69106,0.8153,0.92901,1.30547,0.000322778,0.000322778,0.000322778
